Evaluation,x_t,y_c1,y_c2,y_t,z_c1,Cost
330,14.555774mm,19.999695mm,11.346156mm,0.13999878mm,36.922316mm,0.42806
822,19.998584mm,19.582928mm,10.9495mm,0.13764076mm,39.595104mm,0.42866
545,15.235317mm,19.808474mm,9.5427279mm,0.11410044mm,39.789747mm,0.42959
373,10.064348mm,19.376841mm,11.638029mm,0.095418397mm,39.375076mm,0.42966
438,18.822547mm,18.997885mm,11.361564mm,0.082144625mm,39.412481mm,0.43082
377,18.367781mm,19.912666mm,10.469885mm,0.14mm,39.803818mm,0.43168
146,17.844653mm,19.42413mm,11.883147mm,0.074447281mm,39.423123mm,0.43301
954,13.573469mm,16.544717mm,11.230205mm,0.11410138mm,37.541234mm,0.43334
916,12.890361mm,19.862823mm,10.948827mm,0.14mm,36.935775mm,0.43335
105,18.462313mm,17.993549mm,11.561602mm,0.13105528mm,37.714922mm,0.43389
328,12.613699mm,19.40905mm,10.022409mm,0.13519125mm,39.197412mm,0.43486
421,19.894537mm,18.31659mm,11.745951mm,0.13325536mm,37.689736mm,0.43553
425,18.72399mm,18.01332mm,11.768771mm,0.1339916mm,37.635414mm,0.43585
388,19.999218mm,19.462698mm,11.955466mm,0.12765701mm,35.179995mm,0.43645
289,16.339246mm,18.750014mm,10.987542mm,0.097932755mm,36.065406mm,0.43658
73,12.642885mm,17.124321mm,10.052641mm,0.11039978mm,38.757638mm,0.43787
909,19.350922mm,19.428772mm,11.911902mm,0.071819034mm,39.997508mm,0.43826
936,14.566193mm,19.413933mm,11.409686mm,0.10305543mm,33.07901mm,0.43878
381,13.969259mm,17.380687mm,11.999996mm,0.10557694mm,34.54641mm,0.43936
662,19.193155mm,19.25031mm,11.951421mm,0.071171319mm,39.935423mm,0.44038
579,12.613699mm,18.15905mm,10.022409mm,0.13519125mm,39.197412mm,0.44139
965,19.703874mm,19.478912mm,10.608703mm,0.14mm,38.870671mm,0.44176
354,10.981418mm,16.272721mm,11.999883mm,0.13800869mm,39.390032mm,0.44206
395,10.981418mm,16.272721mm,11.874883mm,0.13800869mm,39.390032mm,0.44287
911,19.350922mm,18.803772mm,11.786902mm,0.074319034mm,39.372508mm,0.44333
921,19.999408mm,19.400385mm,9.9565448mm,0.12678301mm,39.42174mm,0.44391
974,16.305905mm,19.420956mm,11.876561mm,0.12529157mm,32.72292mm,0.44478
59,19.999031mm,18.789332mm,9.9511366mm,0.11707521mm,39.493143mm,0.44499
989,18.568298mm,18.310738mm,11.688295mm,0.07629117mm,38.879474mm,0.44504
380,18.610746mm,19.396886mm,11.883421mm,0.07000921mm,39.402317mm,0.44595
558,19.648358mm,19.446694mm,11.905384mm,0.07733612mm,36.842071mm,0.44602
422,18.367781mm,18.469291mm,10.469885mm,0.1342265mm,38.360442mm,0.44648
65,20mm,20mm,11.503299mm,0.086370661mm,35.14991mm,0.44686
970,15.329126mm,19.398073mm,11.094376mm,0.073150951mm,39.394691mm,0.44745
342,18.449918mm,17.001992mm,11.399409mm,0.10077232mm,36.752734mm,0.44761
576,18.929028mm,17.795848mm,11.417636mm,0.13499056mm,37.045674mm,0.4479
823,16.991495mm,19.852812mm,9.6644032mm,0.13943403mm,39.534655mm,0.44831
47,15.851874mm,14.380538mm,11.479346mm,0.12388809mm,40mm,0.44849
393,9.534581mm,20mm,10.376591mm,0.11840876mm,35.143937mm,0.44905
982,10.395634mm,19.734992mm,9.8559529mm,0.099634667mm,36.323707mm,0.44907
77,8.2357641mm,19.999501mm,11.999291mm,0.10536082mm,38.988812mm,0.44912
64,16.359868mm,19.177876mm,11.99949mm,0.13996467mm,33.738799mm,0.4498
340,18.06534mm,17.370756mm,10.546077mm,0.14mm,40mm,0.45047
38,19.687078mm,19.438478mm,11.77994mm,0.07mm,39.164205mm,0.45113
372,18.929028mm,17.795848mm,11.417636mm,0.13999056mm,37.045674mm,0.45266
681,10.747503mm,19.731416mm,10.980121mm,0.13999819mm,35.357585mm,0.45275
551,10.639935mm,19.378354mm,12mm,0.12829961mm,32.23421mm,0.45342
985,12.102638mm,19.474189mm,12mm,0.070076579mm,40mm,0.4555
947,12.889197mm,19.806731mm,11.672439mm,0.14mm,32.019582mm,0.4563
336,13.700565mm,15.918711mm,9.5121596mm,0.10506306mm,39.999966mm,0.4566
339,13.025401mm,20mm,9.6094593mm,0.085046903mm,37.61894mm,0.45753
931,16.864348mm,17.255921mm,11.906946mm,0.070012124mm,39.764283mm,0.45765
74,20mm,14.516338mm,11.644528mm,0.11063002mm,40mm,0.46059
986,10.395634mm,17.234992mm,9.8559529mm,0.099634667mm,36.323707mm,0.46115
116,10.884952mm,20mm,11.697529mm,0.07626468mm,36.885949mm,0.46126
396,8.4083479mm,16.545749mm,11.117607mm,0.13160249mm,39.696891mm,0.46268
118,19.381282mm,14.516338mm,11.644528mm,0.11063002mm,39.116117mm,0.46311
811,10.884952mm,19.375mm,11.697529mm,0.07626468mm,36.885949mm,0.46319
577,19.302592mm,19.532074mm,9.98427mm,0.098038775mm,35.844631mm,0.46322
809,19.996655mm,19.407526mm,10.959891mm,0.07091715mm,39.757245mm,0.46411
43,19.989522mm,19.224125mm,11.823287mm,0.11143919mm,31.883405mm,0.46437
802,19.121238mm,18.835346mm,10.002302mm,0.085080217mm,38.751933mm,0.46455
338,10.938616mm,18.778214mm,8.6716344mm,0.12035965mm,38.618254mm,0.46474
361,13.328514mm,19.399665mm,11.888528mm,0.11040299mm,29.186023mm,0.46684
166,10.884952mm,18.75mm,11.697529mm,0.07626468mm,36.885949mm,0.46692
574,12.281598mm,13.137084mm,10.638149mm,0.1057753mm,39.490896mm,0.46823
78,15.79195mm,19.230545mm,9.8691522mm,0.11980472mm,33.25491mm,0.46879
987,19.992516mm,14.473738mm,11.998526mm,0.099111455mm,38.80911mm,0.46888
33,19.996238mm,18.835346mm,10.002302mm,0.085080217mm,38.751933mm,0.46965
445,9.3385046mm,19.724901mm,11.137592mm,0.10310347mm,30.838672mm,0.47018
939,12.619309mm,13.12514mm,11.471059mm,0.13212796mm,39.666774mm,0.4705
689,15.171264mm,17.80126mm,10.342487mm,0.13879558mm,34.749657mm,0.47158
283,18.474115mm,19.039356mm,11.104016mm,0.07000316mm,37.505844mm,0.47397
561,20mm,19.375mm,9.6213745mm,0.11276126mm,35.793056mm,0.47571
300,7.1123162mm,17.700463mm,12mm,0.10785581mm,40mm,0.47746
350,15.513567mm,13.06845mm,11.962329mm,0.13842913mm,39.599827mm,0.47753
799,12.954601mm,17.814433mm,9.9742329mm,0.075773828mm,38.556239mm,0.4785
41,10.724557mm,18.777429mm,10.613973mm,0.12976858mm,31.000517mm,0.47965
358,9.8291387mm,18.071193mm,12mm,0.12296071mm,30.590728mm,0.48021
147,12.954601mm,19.257809mm,9.9742329mm,0.070000325mm,39.999615mm,0.48179
63,12.226054mm,19.138903mm,11.750445mm,0.077628964mm,31.282227mm,0.48285
349,19.998446mm,19.70114mm,10.31352mm,0.1389827mm,33.692123mm,0.48456
944,8.2865415mm,19.729372mm,11.9074mm,0.098356754mm,31.354791mm,0.48465
679,14.709559mm,20mm,10.484033mm,0.072618857mm,34.113936mm,0.48531
668,19.79325mm,14.050988mm,11.973802mm,0.090889343mm,38.323608mm,0.48673
119,17.784822mm,17.627204mm,11.999997mm,0.075532346mm,33.354379mm,0.48775
194,18.985875mm,17.39197mm,10.002302mm,0.085080217mm,37.308557mm,0.48789
816,16.431096mm,19.699641mm,9.9601294mm,0.072214861mm,37.107375mm,0.48803
45,15.485363mm,14.756046mm,11.537426mm,0.14mm,35.770915mm,0.4884
192,8.2691321mm,14.3006mm,10.493198mm,0.13752106mm,39.382439mm,0.48915
431,8.2691321mm,14.3006mm,10.493198mm,0.13398553mm,38.498555mm,0.48988
304,18.662597mm,20mm,12mm,0.0801381mm,29.965118mm,0.49
235,6.75mm,18.399978mm,11.524339mm,0.11304869mm,36.705925mm,0.49195
293,19.999796mm,18.86717mm,10.665012mm,0.09392921mm,32.181056mm,0.49195
655,13.875685mm,19.053615mm,8.1245982mm,0.13271784mm,39.092841mm,0.49521
69,13.875685mm,19.053615mm,8.1245982mm,0.13771784mm,39.092841mm,0.49868
565,19.573606mm,13.33613mm,11.411147mm,0.13999566mm,40mm,0.49874
102,12.226054mm,17.371136mm,11.396891mm,0.077628964mm,31.282227mm,0.50154
533,18.662597mm,19.116117mm,11.823223mm,0.0801381mm,29.965118mm,0.50278
353,6.9380252mm,19.375mm,12mm,0.13714956mm,33.751974mm,0.50432
968,19.71282mm,19.754256mm,11.929805mm,0.13932404mm,29.080406mm,0.50458
327,10.755022mm,17.059035mm,8.0660253mm,0.13565673mm,39.962001mm,0.50552
141,6.0948728mm,19.656754mm,11.239249mm,0.12491032mm,39.760455mm,0.50759
659,18.762359mm,17.099403mm,10.665012mm,0.09392921mm,32.181056mm,0.50847
426,13.377966mm,18.831595mm,7.7206566mm,0.11354597mm,38.82327mm,0.51139
814,19.891247mm,19.957488mm,8.2267078mm,0.13883672mm,39.955505mm,0.51201
530,18.977289mm,18.327761mm,11.483157mm,0.12751532mm,29.204582mm,0.51295
428,13.875685mm,17.610239mm,8.1245982mm,0.13194433mm,37.649465mm,0.51301
792,13.875685mm,17.285848mm,8.1245982mm,0.13271784mm,37.325074mm,0.51463
333,18.805096mm,16.262099mm,10.077153mm,0.07mm,39.696725mm,0.51683
796,18.662597mm,18.232233mm,11.646447mm,0.0801381mm,29.965118mm,0.51745
656,11.032474mm,20mm,8.282293mm,0.10413475mm,30.437035mm,0.51786
332,13.5595mm,19.224568mm,10.276209mm,0.10524653mm,26.510935mm,0.51941
559,19.574377mm,12.400286mm,11.504906mm,0.090229451mm,39.402897mm,0.52092
649,18.130435mm,15.85103mm,10.131037mm,0.076727987mm,36.50058mm,0.52092
452,18.977289mm,18.327761mm,11.483157mm,0.13751532mm,29.204582mm,0.52136
786,16.479652mm,15.345954mm,9.9411013mm,0.074005181mm,37.733564mm,0.52152
392,8.632638mm,19.459148mm,10.681567mm,0.070017087mm,39.440872mm,0.52277
200,8.7760877mm,19.454332mm,7.3879572mm,0.10998704mm,39.499654mm,0.52335
419,7.2015871mm,17.418738mm,11.388635mm,0.08270939mm,37.761613mm,0.52344
901,6.6749369mm,16.703287mm,10.495126mm,0.13292893mm,33.017194mm,0.52479
198,11.353514mm,19.019055mm,11.920618mm,0.13751037mm,26.015068mm,0.52521
527,5.882625mm,17.887294mm,11.534443mm,0.13551383mm,37.637633mm,0.52585
337,17.062089mm,17.372906mm,8.0161768mm,0.099045844mm,39.483436mm,0.52765
652,13.377966mm,17.063828mm,7.7206566mm,0.11354597mm,37.055503mm,0.52958
785,6.7374422mm,18.749514mm,8.3367325mm,0.13494043mm,38.74738mm,0.5299
676,20mm,15.008154mm,12mm,0.12487863mm,32.244945mm,0.53118
538,7.1641869mm,15.384537mm,10.250593mm,0.13999177mm,32.928727mm,0.53167
127,19.880435mm,15.85103mm,10.131037mm,0.076727987mm,36.50058mm,0.53343
287,8.079581mm,20mm,7.6125041mm,0.10406092mm,34.441684mm,0.53528
840,11.73083mm,14.896076mm,9.3977106mm,0.10721696mm,30.653602mm,0.53579
210,6.0442276mm,17.658587mm,9.0558381mm,0.10205085mm,37.652921mm,0.53773
952,12.952924mm,9.9879044mm,11.226045mm,0.094355503mm,40mm,0.54128
904,5.612281mm,19.089066mm,9.6832684mm,0.13509213mm,40mm,0.54661
285,19.929407mm,12.855565mm,11.761825mm,0.07015985mm,38.820278mm,0.54982
130,5.2939653mm,19.814478mm,11.99023mm,0.13897854mm,39.64992mm,0.55193
167,7.3242061mm,10.483832mm,11.848189mm,0.092916236mm,39.999729mm,0.55283
482,7.0302997mm,16.951883mm,11.711325mm,0.075773503mm,38.556624mm,0.55286
849,19.030376mm,18.546466mm,11.801279mm,0.071986699mm,28.146775mm,0.55468
286,10.371054mm,19.99989mm,8.5958017mm,0.12523095mm,25.187595mm,0.55696
946,8.4227787mm,11.495338mm,8.0497455mm,0.13536504mm,40mm,0.56061
273,5.8624422mm,19.999514mm,8.3367325mm,0.13994043mm,39.99738mm,0.56085
212,5.1000012mm,19.005328mm,11.75805mm,0.13998596mm,38.755667mm,0.56184
160,6.0118466mm,12.688333mm,8.6652288mm,0.13375176mm,38.014953mm,0.56206
126,5.4375mm,16.703287mm,10.495126mm,0.14mm,33.017194mm,0.56436
132,5mm,18.399978mm,11.524339mm,0.11304869mm,36.705925mm,0.56444
924,7.0957722mm,11.792617mm,8.5092707mm,0.097179756mm,38.39701mm,0.56465
925,7.0644404mm,11.798575mm,8.5199456mm,0.097013245mm,38.331144mm,0.56474
218,6.5601139mm,13.84675mm,11.673046mm,0.080506069mm,38.265859mm,0.56602
